1.31,2.21,1.81,4.72
4.50,2.63,3.54,1.23
3.05,1.98,4.80,3.86
3.67,1.12,2.85,5.43
5.24,3.73,1.26,3.70
3.33,2.84,2.64,3.50
4.75,4.26,3.40,5.12
0.82,5.46,0.76,1.50
2.61,1.04,3.62,0.74
1.92,0.81,4.02,3.84
2.39,1.44,4.24,2.20
4.48,2.94,3.13,0.64
3.72,2.25,1.65,2.67
2.41,2.85,5.40,2.32
4.37,3.26,4.95,2.27
1.73,5.06,0.72,5.25
3.28,2.38,5.48,0.79
3.08,0.66,3.36,1.40
3.65,5.40,4.87,2.76
4.04,4.39,2.97,3.14
1.25,2.35,1.21,4.13
2.89,2.74,4.93,3.14
2.55,1.84,0.86,2.59
0.63,1.96,3.02,5.33
1.05,3.87,3.00,4.39
1.22,0.92,2.50,4.48
1.46,4.34,1.95,1.58
0.58,2.49,2.41,3.80
0.85,1.26,0.58,1.07
3.76,2.51,2.11,3.29
