39.23,48.26,43.52,36.73
38.41,43.94,38.59,36.97
37.43,47.67,44.03,49.45
40.19,43.93,43.98,44.24
35.89,46.25,49.22,43.02
37.89,46.29,35.11,39.92
48.76,43.83,47.83,44.07
47.34,48.19,39.81,36.84
45.82,41.61,36.90,43.85
35.54,38.00,46.82,35.18
39.55,35.32,49.96,43.73
39.40,48.93,42.61,41.82
43.82,38.96,39.58,40.57
38.67,43.77,45.44,36.08
49.57,46.30,47.09,46.27
36.20,42.23,41.69,45.09
41.73,45.56,45.22,45.46
44.28,37.26,46.41,46.72
48.56,38.51,37.65,40.87
39.81,47.23,44.20,46.40
41.41,36.49,36.73,40.60
37.91,47.31,43.99,45.33
42.37,36.32,38.53,41.92
37.98,35.38,45.94,45.87
39.96,47.65,41.43,47.97
44.86,43.72,38.01,42.94
48.42,39.57,48.06,48.63
39.95,45.25,48.49,36.14
48.18,37.86,47.75,45.01
40.17,37.27,44.53,47.72
