5.47,4.67,4.00,5.09
0.70,0.85,2.87,2.25
5.19,2.95,3.20,4.98
2.73,4.89,1.77,1.87
2.14,3.24,1.60,3.86
1.21,0.97,4.85,1.68
2.43,3.36,3.13,0.88
4.87,5.26,4.56,1.92
3.14,2.20,3.27,5.37
2.06,3.84,2.13,4.37
2.13,4.95,4.26,4.31
2.85,1.55,0.71,2.11
0.69,3.97,3.85,2.65
4.34,3.18,0.70,1.17
1.47,2.18,0.76,3.53
3.06,3.59,2.66,4.74
2.77,0.58,4.87,3.78
4.62,5.26,0.75,1.68
0.82,2.61,4.82,0.91
2.87,1.13,4.36,4.71
0.72,2.93,1.70,5.26
5.22,3.57,5.37,2.22
4.99,2.67,1.68,5.20
3.92,0.82,4.85,4.01
3.52,4.16,1.77,3.50
4.57,0.77,1.15,4.71
3.59,3.16,1.74,1.98
4.86,2.61,0.82,4.98
1.52,4.63,4.91,2.93
3.49,3.14,3.62,4.78
