0.27,0.46,0.34,0.41
0.30,0.30,0.44,0.13
0.33,0.48,0.31,0.18
0.44,0.20,0.38,0.32
0.48,0.35,0.44,0.10
0.50,0.13,0.23,0.48
0.10,0.43,0.44,0.28
0.20,0.42,0.29,0.15
0.47,0.46,0.30,0.44
0.27,0.37,0.26,0.30
0.18,0.49,0.22,0.14
0.16,0.11,0.39,0.33
0.42,0.30,0.42,0.38
0.41,0.26,0.36,0.17
0.23,0.17,0.26,0.20
0.26,0.49,0.23,0.49
0.35,0.25,0.44,0.35
0.20,0.42,0.27,0.24
0.23,0.38,0.21,0.42
0.22,0.32,0.30,0.44
0.46,0.17,0.33,0.46
0.28,0.47,0.21,0.34
0.37,0.19,0.11,0.27
0.48,0.24,0.41,0.17
0.24,0.16,0.39,0.38
0.38,0.20,0.38,0.19
0.27,0.25,0.24,0.12
0.35,0.38,0.35,0.36
0.17,0.16,0.31,0.45
0.17,0.29,0.27,0.30
