39.43,45.97,49.18
41.38,46.73,35.84
47.53,37.88,40.93
39.50,36.20,48.57
40.55,42.96,42.41
36.98,38.10,36.14
42.62,38.92,40.36
36.62,46.81,36.60
49.79,37.66,43.59
35.67,46.81,37.84
42.92,46.10,37.25
43.27,38.25,46.39
45.84,37.65,47.93
35.30,47.90,43.38
41.05,46.38,45.75
49.81,39.17,35.06
49.01,47.87,45.93
42.75,45.60,46.71
40.62,46.55,46.26
44.20,41.03,45.46
35.05,46.62,48.45
38.59,36.81,38.30
39.53,48.25,43.15
39.30,37.08,39.35
44.21,39.86,41.86
41.66,47.42,41.40
40.19,45.12,38.32
42.01,39.72,44.40
48.16,41.72,46.77
41.85,44.84,36.98
