7,13,14,10,11,13,7,17,2,18,3,14,9,15,8,7,13,12,16,6,11,2,15,11,11,9,3,2,10,15,
4,12,17,17,9,12,16,2,3,19,15,5,2,15,8,8,4,14,13,9,15,10,13,14,13,6,9,9,15,6,
19,12,22,18,7,15,19,20,3,22,12,2,9,2,21,19,16,15,22,22,13,8,15,17,11,4,9,7,6,7,
10,15,5,2,10,22,15,20,17,11,2,14,21,19,12,22,14,17,16,21,21,13,24,9,5,23,17,16,21,4,
6,6,2,21,5,21,7,8,17,9,7,17,19,25,2,12,12,4,4,19,6,2,22,16,19,9,5,19,24,8,
11,12,15,8,8,18,18,20,14,11,24,2,24,25,18,21,11,18,21,17,12,6,25,16,23,16,5,26,26,18,
16,24,17,9,16,15,17,27,23,22,27,23,20,16,14,7,24,24,14,14,26,14,9,25,9,13,14,20,8,18,
7,4,3,13,28,26,7,11,22,27,13,3,20,2,28,22,9,2,24,4,22,5,8,14,9,8,21,17,18,8,
15,6,25,24,4,28,27,12,23,11,11,27,26,15,24,22,14,20,12,13,11,6,18,18,21,12,22,27,5,11,
30,16,13,28,12,28,10,23,28,18,30,7,11,15,10,12,13,24,8,2,16,6,25,13,5,29,2,16,29,19,
8,28,2,24,3,8,6,20,29,30,7,22,8,20,32,27,20,16,9,23,18,9,31,13,31,29,28,16,10,32,
