model,workload,value
SIS,5000,9121.3
APMISRR,5000,7767.67
TolerMIS,5000,7525
SIS,5000,9066.64
APMISRR,5000,7649.66
TolerMIS,5000,7413.1
SIS,5000,9061.07
APMISRR,5000,7631.05
TolerMIS,5000,7396.53
SIS,5000,9088.91
APMISRR,5000,7703.64
TolerMIS,5000,7464.97
SIS,5000,9072.11
APMISRR,5000,7679.9
TolerMIS,5000,7442.59
SIS,5000,9066.64
APMISRR,5000,7649.66
TolerMIS,5000,7413.1
SIS,5000,9121.3
APMISRR,5000,7767.67
TolerMIS,5000,7525
SIS,5000,9050.03
APMISRR,5000,7583.38
TolerMIS,5000,7351.5
SIS,5000,9176.79
APMISRR,5000,7888.29
TolerMIS,5000,7610.57
SIS,5000,9047.22
APMISRR,5000,7568.4
TolerMIS,5000,7337.35
SIS,5000,9167.03
APMISRR,5000,7862.97
TolerMIS,5000,7628.04
SIS,5000,9061.07
APMISRR,5000,7631.05
TolerMIS,5000,7396.53
SIS,5000,9112.32
APMISRR,5000,7733.69
TolerMIS,5000,7491.04
SIS,5000,9060.44
APMISRR,5000,7617.53
TolerMIS,5000,7382.93
SIS,5000,8999.92
APMISRR,5000,7694.54
TolerMIS,5000,7457.02
SIS,5000,9114.2
APMISRR,5000,7764.04
TolerMIS,5000,7522.71
SIS,5000,9016.2
APMISRR,5000,7633.14
TolerMIS,5000,7399.47
SIS,5000,9044.49
APMISRR,5000,7660.17
TolerMIS,5000,7423.45
SIS,5000,9032.98
APMISRR,5000,7595.49
TolerMIS,5000,7363.4
SIS,5000,9121.3
APMISRR,5000,7785.07
TolerMIS,5000,7541.47
SIS,5000,9044.49
APMISRR,5000,7675.14
TolerMIS,5000,7437.55
SIS,5000,9032.98
APMISRR,5000,7802.64
TolerMIS,5000,7558.48
SIS,5000,9066.64
APMISRR,5000,7618.47
TolerMIS,5000,7383.65
SIS,5000,8999.92
APMISRR,5000,7654.38
TolerMIS,5000,7419.25
SIS,5000,9071.33
APMISRR,5000,7681.89
TolerMIS,5000,7443.94
SIS,5000,8999.92
APMISRR,5000,7681.15
TolerMIS,5000,7444.43
SIS,5000,8999.6
APMISRR,5000,7760.08
TolerMIS,5000,7518.9
SIS,5000,9054.31
APMISRR,5000,7814.45
TolerMIS,5000,7569.92
SIS,5000,9044.49
APMISRR,5000,7690.1
TolerMIS,5000,7451.65
SIS,5000,9122.93
APMISRR,5000,7627.01
TolerMIS,5000,7399.24
SIS,6000,10884.2
APMISRR,6000,9310.26
TolerMIS,6000,9062.88
SIS,6000,10818.5
APMISRR,6000,9138.81
TolerMIS,6000,8899.77
SIS,6000,10812.3
APMISRR,6000,9051.39
TolerMIS,6000,8818.06
SIS,6000,10845.8
APMISRR,6000,9057.35
TolerMIS,6000,8824.25
SIS,6000,10825.9
APMISRR,6000,9189.76
TolerMIS,6000,8948.99
SIS,6000,10818.5
APMISRR,6000,9138.81
TolerMIS,6000,8899.77
SIS,6000,10884.2
APMISRR,6000,9083.99
TolerMIS,6000,8849.38
SIS,6000,10799
APMISRR,6000,9295.96
TolerMIS,6000,9049.1
SIS,6000,10950.5
APMISRR,6000,9366.97
TolerMIS,6000,9084.89
SIS,6000,10795.4
APMISRR,6000,9016.59
TolerMIS,6000,8785.03
SIS,6000,10939.6
APMISRR,6000,9113.52
TolerMIS,6000,8891.2
SIS,6000,10812.3
APMISRR,6000,9253.12
TolerMIS,6000,9008.83
SIS,6000,10872.5
APMISRR,6000,9345.62
TolerMIS,6000,9094.49
SIS,6000,10811
APMISRR,6000,9086.71
TolerMIS,6000,8850.59
SIS,6000,10739.3
APMISRR,6000,9166.23
TolerMIS,6000,8927.14
SIS,6000,10876.2
APMISRR,6000,9231.09
TolerMIS,6000,8988.88
SIS,6000,10758.7
APMISRR,6000,9239.01
TolerMIS,6000,8996.07
SIS,6000,10791.6
APMISRR,6000,9099.5
TolerMIS,6000,8862.99
SIS,6000,10778.6
APMISRR,6000,9109.84
TolerMIS,6000,8873.62
SIS,6000,10884.2
APMISRR,6000,9215.98
TolerMIS,6000,8973.42
SIS,6000,10791.6
APMISRR,6000,9083.29
TolerMIS,6000,8847.68
SIS,6000,10778.6
APMISRR,6000,9157.89
TolerMIS,6000,8918.99
SIS,6000,10818.5
APMISRR,6000,9121.92
TolerMIS,6000,8883.78
SIS,6000,10739.3
APMISRR,6000,9079.28
TolerMIS,6000,8845.13
SIS,6000,10824.4
APMISRR,6000,9123.09
TolerMIS,6000,8885.31
SIS,6000,10739.3
APMISRR,6000,9195.21
TolerMIS,6000,8954.48
SIS,6000,10738.9
APMISRR,6000,9150.69
TolerMIS,6000,8912.74
SIS,6000,10804.3
APMISRR,6000,9183.26
TolerMIS,6000,8943.19
SIS,6000,10791.6
APMISRR,6000,9083.29
TolerMIS,6000,8847.68
SIS,6000,10886.6
APMISRR,6000,9272.09
TolerMIS,6000,9027.59
SIS,7000,12647.1
APMISRR,7000,10499.8
TolerMIS,7000,10267.3
SIS,7000,12570.4
APMISRR,7000,10614
TolerMIS,7000,10373.3
SIS,7000,12563.5
APMISRR,7000,10431.7
TolerMIS,7000,10202.7
SIS,7000,12602.7
APMISRR,7000,10510.7
TolerMIS,7000,10276.1
SIS,7000,12579.7
APMISRR,7000,10705.3
TolerMIS,7000,10461
SIS,7000,12570.4
APMISRR,7000,10560.1
TolerMIS,7000,10322.2
SIS,7000,12647.1
APMISRR,7000,10499.8
TolerMIS,7000,10267.3
SIS,7000,12547.9
APMISRR,7000,10465.8
TolerMIS,7000,10233.7
SIS,7000,12724.2
APMISRR,7000,10864.4
TolerMIS,7000,10576.6
SIS,7000,12543.6
APMISRR,7000,10431
TolerMIS,7000,10200.7
SIS,7000,12712.1
APMISRR,7000,10660.7
TolerMIS,7000,10432.6
SIS,7000,12563.5
APMISRR,7000,10789.1
TolerMIS,7000,10540.2
SIS,7000,12632.6
APMISRR,7000,10699.1
TolerMIS,7000,10452.9
SIS,7000,12561.5
APMISRR,7000,10788.7
TolerMIS,7000,10538.8
SIS,7000,12478.7
APMISRR,7000,10438.2
TolerMIS,7000,10208.5
SIS,7000,12638.2
APMISRR,7000,10496.5
TolerMIS,7000,10266.5
SIS,7000,12501.3
APMISRR,7000,10522.4
TolerMIS,7000,10288.3
SIS,7000,12538.7
APMISRR,7000,10553.5
TolerMIS,7000,10316.3
SIS,7000,12524.2
APMISRR,7000,10428.4
TolerMIS,7000,10198.8
SIS,7000,12647.1
APMISRR,7000,10439.6
TolerMIS,7000,10213.3
SIS,7000,12538.7
APMISRR,7000,10588
TolerMIS,7000,10348.9
SIS,7000,12524.2
APMISRR,7000,10666.6
TolerMIS,7000,10424.2
SIS,7000,12570.4
APMISRR,7000,10560.1
TolerMIS,7000,10322.2
SIS,7000,12478.7
APMISRR,7000,10499.8
TolerMIS,7000,10266.7
SIS,7000,12577.4
APMISRR,7000,10634.2
TolerMIS,7000,10392.9
SIS,7000,12478.7
APMISRR,7000,10700
TolerMIS,7000,10456
SIS,7000,12478.1
APMISRR,7000,10621.8
TolerMIS,7000,10382.3
SIS,7000,12554.4
APMISRR,7000,10696.6
TolerMIS,7000,10452.9
SIS,7000,12538.7
APMISRR,7000,10708.6
TolerMIS,7000,10463.1
SIS,7000,12650.2
APMISRR,7000,10740
TolerMIS,7000,10494.6
SIS,8000,14410
APMISRR,8000,12164.4
TolerMIS,8000,11919.2
SIS,8000,14322.3
APMISRR,8000,12033.9
TolerMIS,8000,11794.3
SIS,8000,14314.7
APMISRR,8000,12217.9
TolerMIS,8000,11970
SIS,8000,14359.6
APMISRR,8000,12303.4
TolerMIS,8000,12051.8
SIS,8000,14333.5
APMISRR,8000,12129.6
TolerMIS,8000,11886.3
SIS,8000,14322.3
APMISRR,8000,11902
TolerMIS,8000,11669
SIS,8000,14410
APMISRR,8000,12059.1
TolerMIS,8000,11818.9
SIS,8000,14296.8
APMISRR,8000,11934
TolerMIS,8000,11700.3
SIS,8000,14497.9
APMISRR,8000,12037.8
TolerMIS,8000,11770.8
SIS,8000,14291.9
APMISRR,8000,12096.8
TolerMIS,8000,11854.7
SIS,8000,14484.6
APMISRR,8000,12377.4
TolerMIS,8000,12134.1
SIS,8000,14314.7
APMISRR,8000,12049.1
TolerMIS,8000,11809.7
SIS,8000,14392.7
APMISRR,8000,11935
TolerMIS,8000,11698.9
SIS,8000,14312
APMISRR,8000,11957
TolerMIS,8000,11721.3
SIS,8000,14218
APMISRR,8000,12046.3
TolerMIS,8000,11807.5
SIS,8000,14400.1
APMISRR,8000,11908.6
TolerMIS,8000,11681
SIS,8000,14243.8
APMISRR,8000,12025.1
TolerMIS,8000,11787.7
SIS,8000,14285.9
APMISRR,8000,11989.3
TolerMIS,8000,11752.3
SIS,8000,14269.8
APMISRR,8000,12000.9
TolerMIS,8000,11764.2
SIS,8000,14410
APMISRR,8000,11932.9
TolerMIS,8000,11700.6
SIS,8000,14285.9
APMISRR,8000,11916.9
TolerMIS,8000,11683.7
SIS,8000,14269.8
APMISRR,8000,12054.5
TolerMIS,8000,11815
SIS,8000,14322.3
APMISRR,8000,11864.4
TolerMIS,8000,11633.2
SIS,8000,14218
APMISRR,8000,12094.8
TolerMIS,8000,11853.4
SIS,8000,14330.4
APMISRR,8000,12226.7
TolerMIS,8000,11978.1
SIS,8000,14218
APMISRR,8000,11868.6
TolerMIS,8000,11639.1
SIS,8000,14217.4
APMISRR,8000,11964.8
TolerMIS,8000,11730.5
SIS,8000,14304.4
APMISRR,8000,12009.1
TolerMIS,8000,11772.1
SIS,8000,14285.9
APMISRR,8000,11916.9
TolerMIS,8000,11683.7
SIS,8000,14413.8
