model,workload,value
SIS,5000,9426.08
APMISRR,5000,7971.93
TolerMIS,5000,7727.94
SIS,5000,9386.87
APMISRR,5000,7755.32
TolerMIS,5000,7523.44
SIS,5000,9374.74
APMISRR,5000,7719.93
TolerMIS,5000,7488.93
SIS,5000,9409.08
APMISRR,5000,7862.92
TolerMIS,5000,7624.93
SIS,5000,9463.25
APMISRR,5000,7846.61
TolerMIS,5000,7580.61
SIS,5000,9468.28
APMISRR,5000,7775.13
TolerMIS,5000,7555.37
SIS,5000,9410.27
APMISRR,5000,7969.42
TolerMIS,5000,7723.39
SIS,5000,9349.37
APMISRR,5000,7615.08
TolerMIS,5000,7396.92
SIS,5000,9293.99
APMISRR,5000,8061.06
TolerMIS,5000,7811.72
SIS,5000,9391.37
APMISRR,5000,7591.93
TolerMIS,5000,7375.08
SIS,5000,9311.45
APMISRR,5000,8045.16
TolerMIS,5000,7796.4
SIS,5000,9299.8
APMISRR,5000,7700.97
TolerMIS,5000,7471.52
SIS,5000,9304.62
APMISRR,5000,7851.49
TolerMIS,5000,7614.21
SIS,5000,9287.01
APMISRR,5000,7666.09
TolerMIS,5000,7440.23
SIS,5000,9404.91
APMISRR,5000,7929.24
TolerMIS,5000,7688.2
SIS,5000,9282.87
APMISRR,5000,7907.28
TolerMIS,5000,7650.35
SIS,5000,9351.97
APMISRR,5000,7745.96
TolerMIS,5000,7514.26
SIS,5000,9439.6
APMISRR,5000,7803.08
TolerMIS,5000,7541.81
SIS,5000,9324.64
APMISRR,5000,7648.64
TolerMIS,5000,7422.11
SIS,5000,9381.97
APMISRR,5000,7980.83
TolerMIS,5000,7711.88
SIS,5000,9346.75
APMISRR,5000,7808.87
TolerMIS,5000,7572.52
SIS,5000,9278.81
APMISRR,5000,8052.23
TolerMIS,5000,7804.18
SIS,5000,9588.5
APMISRR,5000,7728.39
TolerMIS,5000,7486.36
SIS,5000,9277.02
APMISRR,5000,7782.73
TolerMIS,5000,7549.34
SIS,5000,9345.86
APMISRR,5000,7808.41
TolerMIS,5000,7573.82
SIS,5000,9329.41
APMISRR,5000,7866.28
TolerMIS,5000,7627.52
SIS,5000,9356.82
APMISRR,5000,8067.56
TolerMIS,5000,7818.43
SIS,5000,9340.15
APMISRR,5000,8088.22
TolerMIS,5000,7839.1
SIS,5000,9491.17
APMISRR,5000,7900.6
TolerMIS,5000,7656.23
SIS,5000,9382.15
APMISRR,5000,7687.01
TolerMIS,5000,7459.81
SIS,6000,11250.6
APMISRR,6000,9621.59
TolerMIS,6000,9369.42
SIS,6000,11204.5
APMISRR,6000,9310.44
TolerMIS,6000,9074.01
SIS,6000,11189.8
APMISRR,6000,9129.79
TolerMIS,6000,8902.23
SIS,6000,11230.6
APMISRR,6000,9137.77
TolerMIS,6000,8909.19
SIS,6000,11295.2
APMISRR,6000,9454.21
TolerMIS,6000,9173.51
SIS,6000,11302.2
APMISRR,6000,9340.31
TolerMIS,6000,9114.98
SIS,6000,11230.6
APMISRR,6000,9180.33
TolerMIS,6000,8947.1
SIS,6000,11160
APMISRR,6000,9634.18
TolerMIS,6000,9382.27
SIS,6000,11092.5
APMISRR,6000,9566.84
TolerMIS,6000,9315.73
SIS,6000,11209.5
APMISRR,6000,9062.1
