m,1000,2000,3000,4000,5000,
3,1576.58,3045.81,4515.03,5984.25,7453.47,
4,1558.49,3006.73,4454.98,5903.22,7351.47,
5,1553.31,2993.50,4433.69,5873.88,7314.07,
6,1551.76,2987.52,4423.28,5859.05,7294.81,
7,1551.79,2984.72,4417.64,5850.57,7283.50,
8,1552.68,2983.62,4414.56,5845.50,7276.44,
9,1554.08,2983.55,4413.01,5842.48,7271.94,
10,1555.82,2984.15,4412.47,5840.80,7269.13,
11,1557.79,2985.21,4412.63,5840.05,7267.47,
12,1559.93,2986.61,4413.29,5839.96,7266.64,
13,1562.19,2988.25,4414.31,5840.38,7266.44,
14,1564.54,2990.09,4415.63,5841.17,7266.72,
15,1566.97,2992.07,4417.17,5842.27,7267.36,
16,1569.46,2994.17,4418.89,5843.60,7268.31,
17,1572.00,2996.37,4420.75,5845.12,7269.50,
18,1574.58,2998.65,4422.73,5846.81,7270.88,
19,1577.19,3001.00,4424.81,5848.62,7272.43,
20,1579.83,3003.40,4426.98,5850.55,7274.12,
21,1582.49,3005.85,4429.21,5852.57,7275.93,
22,1585.17,3008.34,4431.51,5854.68,7277.84,
23,1587.87,3010.87,4433.86,5856.85,7279.84,
24,1590.59,3013.42,4436.25,5859.09,7281.92,
25,1593.32,3016.00,4438.69,5861.37,7284.06,
26,1596.06,3018.61,4441.16,5863.71,7286.26,
27,1598.81,3021.24,4443.66,5866.09,7288.51,
28,1601.57,3023.88,4446.19,5868.50,7290.81,
29,1604.34,3026.54,4448.74,5870.95,7293.15,
30,1607.12,3029.22,4451.32,5873.42,7295.52,
31,1609.90,3031.91,4453.92,5875.92,7297.93,
32,1612.69,3034.61,4456.53,5878.45,7300.37,
33,1615.48,3037.32,4459.16,5881.00,7302.84,
34,1618.28,3040.04,4461.81,5883.57,7305.33,
35,1621.08,3042.77,4464.46,5886.15,7307.84,
36,1623.89,3045.51,4467.14,5888.76,7310.38,
37,1626.70,3048.26,4469.82,5891.38,7312.93,
38,1629.52,3051.01,4472.51,5894.01,7315.50,
39,1632.34,3053.77,4475.21,5896.65,7318.09,
40,1635.16,3056.54,4477.92,5899.31,7320.69,
